Date,Open,High,Low,Close,Adj Close,Volume
20/06/2019,306.399994,314.399994,304.799988,305.600006,302.493286,63528
21/06/2019,307.200012,311.600006,304.399994,311.200012,308.036377,37070
24/06/2019,311.200012,315.200012,308.399994,314.799988,311.599731,41615
25/06/2019,315.200012,322,314,321.200012,317.934723,51258
26/06/2019,318.399994,326,317.600006,325.600006,322.289978,33453
27/06/2019,323.200012,323.200012,316.799988,317.600006,314.371307,29523
28/06/2019,308.480011,313.040009,306.480011,308.320007,305.185638,86225
01/07/2019,299.200012,303.839996,296.079987,299.600006,296.554291,91338
02/07/2019,300.720001,301.119995,295.76001,296.720001,293.703583,102013
03/07/2019,294.720001,295.040009,288.720001,288.720001,285.784912,61800
05/07/2019,289.920013,294.23999,286.720001,287.519989,284.597046,106338
08/07/2019,291.76001,292.640015,289.119995,290.799988,287.84375,51325
09/07/2019,293.679993,295.040009,286.399994,287.279999,284.359528,56738
10/07/2019,286.399994,289.200012,282.799988,287.839996,284.913818,79688
11/07/2019,285.679993,288.559998,285.040009,285.839996,282.934204,63213
12/07/2019,284.559998,287.119995,282.079987,282.640015,279.766724,50700
15/07/2019,281.200012,286.399994,280.799988,285.200012,282.30069,48650
16/07/2019,284.880005,288.799988,284,287.519989,284.597046,63938
17/07/2019,288.799988,293.679993,287.519989,293.200012,290.21936,75775
18/07/2019,294.959991,295.600006,286.320007,287.600006,284.6763,46925
19/07/2019,286.399994,294.320007,284.720001,294,291.0112,57975
22/07/2019,293.040009,295.600006,290.720001,292.720001,289.744232,66188
23/07/2019,290.959991,290.959991,283.839996,284,281.112854,72900
24/07/2019,285.920013,287.200012,278,278.23999,275.411407,57563
25/07/2019,278.399994,284.720001,278.399994,283.040009,280.162628,72388
26/07/2019,281.600006,281.920013,274.799988,275.519989,272.719055,56950
29/07/2019,276.480011,279.76001,274.320007,279.200012,276.361694,47475
30/07/2019,282.720001,285.440002,279.76001,280.079987,277.232697,50350
31/07/2019,279.76001,289.839996,278,285.200012,282.30069,86163
01/08/2019,284.559998,299.119995,280.160004,297.200012,294.17868,106725
02/08/2019,299.200012,309.839996,296.480011,300.480011,297.425323,133275
05/08/2019,316,337.600006,315.679993,328.880005,325.536621,165713
06/08/2019,321.920013,328.160004,313.200012,314.079987,310.887054,65100
07/08/2019,330.160004,336.559998,312.559998,315.920013,312.708374,178563
08/08/2019,309.679993,312.720001,298.799988,299.200012,296.158356,126813
09/08/2019,303.279999,309.600006,299.119995,302.480011,299.405029,107413
12/08/2019,310.160004,319.519989,308.23999,316.799988,313.579407,133363
13/08/2019,319.359985,320.959991,302.880005,307.279999,304.156219,140975
14/08/2019,322.799988,335.200012,318.720001,334.559998,331.158875,164475
15/08/2019,331.119995,333.920013,323.76001,327.279999,323.952911,78238
16/08/2019,321.119995,321.119995,310.23999,312.399994,309.224152,76875
19/08/2019,301.040009,305.839996,300,303.440002,300.355255,96700
20/08/2019,306.399994,312.799988,304.880005,312.559998,309.382538,88538
21/08/2019,305.920013,309.200012,305.600006,307.279999,304.156219,38200
22/08/2019,304.079987,310.880005,300.799988,303.76001,300.671997,48925
23/08/2019,308.23999,329.279999,302.160004,324.480011,321.181366,174425
26/08/2019,317.119995,323.359985,314.640015,314.799988,311.599731,73350
27/08/2019,311.440002,322.640015,309.119995,319.519989,316.271759,84563
28/08/2019,323.279999,325.200012,312.480011,313.040009,309.857635,71788
29/08/2019,306.160004,307.440002,298.799988,301.519989,298.454773,127663
30/08/2019,297.679993,303.279999,296,300,296.950226,67600
03/09/2019,305.519989,310,303.519989,304.799988,301.701385,88713
